Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","341241.97222","X","Sources internationales sûres",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","50751.052735","X","Sources internationales sûres",""
"MK","Indicateurs macro","41","Chine, continentale","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12310490.458252","X","Sources internationales sûres",""
"MK","Indicateurs macro","50","Chypre","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","22638.471872","X","Sources internationales sûres",""
"MK","Indicateurs macro","44","Colombie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","311883.730442","X","Sources internationales sûres",""
"MK","Indicateurs macro","45","Comores","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1077.439756","X","Sources internationales sûres",""
"MK","Indicateurs macro","46","Congo","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","11011.6519","X","Sources internationales sûres",""
"MK","Indicateurs macro","48","Costa Rica","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","58481.859041","X","Sources internationales sûres",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","51588.154312","X","Sources internationales sûres",""
"MK","Indicateurs macro","98","Croatie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","55319.365464","X","Sources internationales sûres",""
"MK","Indicateurs macro","49","Cuba","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","96851","X","Sources internationales sûres",""
"MK","Indicateurs macro","279","Curaçao","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3116.62911","X","Sources internationales sûres",""
"MK","Indicateurs macro","54","Danemark","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","332121.063806","X","Sources internationales sûres",""
"MK","Indicateurs macro","72","Djibouti","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2766.868072","X","Sources internationales sûres",""
"MK","Indicateurs macro","55","Dominique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","519.833333","X","Sources internationales sûres",""
"MK","Indicateurs macro","59","Égypte","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","195135.299313","X","Sources internationales sûres",""
"MK","Indicateurs macro","60","El Salvador","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","24979.19","X","Sources internationales sûres",""
"MK","Indicateurs macro","225","Émirats arabes unis","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","385605.506855","X","Sources internationales sûres",""
"MK","Indicateurs macro","58","Équateur","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","104295.862","X","Sources internationales sûres",""
"MK","Indicateurs macro","178","Érythrée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1903.966833","X","Sources internationales sûres",""
"MK","Indicateurs macro","203","Espagne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1312539.279462","X","Sources internationales sûres",""
"MK","Indicateurs macro","63","Estonie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","26951.648829","X","Sources internationales sûres",""
"MK","Indicateurs macro","209","Eswatini","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4446.254798","X","Sources internationales sûres",""
"MK","Indicateurs macro","231","États-Unis d'Amérique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","19542980","X","Sources internationales sûres",""
"MK","Indicateurs macro","238","Éthiopie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","76794.516911","X","Sources internationales sûres",""
"MK","Indicateurs macro","185","Fédération de Russie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1577579.65882","X","Sources internationales sûres",""
"MK","Indicateurs macro","66","Fidji","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","5353.491805","X","Sources internationales sûres",""
"MK","Indicateurs macro","67","Finlande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","255232.257244","X","Sources internationales sûres",""
"MK","Indicateurs macro","68","France","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2595151.045198","X","Sources internationales sûres",""
"MK","Indicateurs macro","74","Gabon","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","14929.474265","X","Sources internationales sûres",""
"MK","Indicateurs macro","75","Gambie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1504.954083","X","Sources internationales sûres",""
"MK","Indicateurs macro","73","Géorgie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","16242.672516","X","Sources internationales sûres",""
"MK","Indicateurs macro","81","Ghana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","58994.855221","X","Sources internationales sûres",""
"MK","Indicateurs macro","84","Grèce","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","200125.149861","X","Sources internationales sûres",""
"MK","Indicateurs macro","86","Grenade","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1125.685613","X","Sources internationales sûres",""
"MK","Indicateurs macro","85","Groenland","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2826.654723","X","Sources internationales sûres",""
"MK","Indicateurs macro","89","Guatemala","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","71611.975017","X","Sources internationales sûres",""
"MK","Indicateurs macro","90","Guinée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","10324.668257","X","Sources internationales sûres",""
"MK","Indicateurs macro","61","Guinée équatoriale","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12200.913888","X","Sources internationales sûres",""
"MK","Indicateurs macro","175","Guinée-Bissau","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1350.177012","X","Sources internationales sûres",""
"MK","Indicateurs macro","91","Guyana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4748.174334","X","Sources internationales sûres",""
"MK","Indicateurs macro","93","Haïti","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","8521.132072","X","Sources internationales sûres",""
"MK","Indicateurs macro","95","Honduras","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","23136.248046","X","Sources internationales sûres",""
"MK","Indicateurs macro","97","Hongrie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","142961.605733","X","Sources internationales sûres",""
"MK","Indicateurs macro","36","Îles Caïmanes","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","5236.671341","X","Sources internationales sûres",""
"MK","Indicateurs macro","47","Îles Cook","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","345.608995","X","Sources internationales sûres",""
"MK","Indicateurs macro","127","Îles Marshall","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","207.749821","X","Sources internationales sûres",""
"MK","Indicateurs macro","25","Îles Salomon","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1215.74495","X","Sources internationales sûres",""
"MK","Indicateurs macro","224","Îles Turques-et-Caïques","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1022.37","X","Sources internationales sûres",""
"MK","Indicateurs macro","239","Îles Vierges britanniques","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1207.33","X","Sources internationales sûres",""
"MK","Indicateurs macro","100","Inde","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2625597.686873","X","Sources internationales sûres",""
"MK","Indicateurs macro","101","Indonésie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1015618.74417","X","Sources internationales sûres",""
"MK","Indicateurs macro","102","Iran (République islamique d')","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","460976.107833","X","Sources internationales sûres",""
