Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EI","Intensités des émissions","202","Afrique du Sud","71761","Intensité des émissions","1718","Céréales sans riz","2017","2017","kg CO2eq/kg product","0.1559","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","7231","Émissions (CO2eq)","1718","Céréales sans riz","2017","2017","gigagrammes","2943.903","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","5510","Production","1718","Céréales sans riz","2017","2017","tonnes","18882014.6458","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EI","Intensités des émissions","202","Afrique du Sud","71761","Intensité des émissions","27","Riz, paddy","2017","2017","kg CO2eq/kg product","56.4949","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","7231","Émissions (CO2eq)","27","Riz, paddy","2017","2017","gigagrammes","173.2809","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","5510","Production","27","Riz, paddy","2017","2017","tonnes","3067","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","202","Afrique du Sud","71761","Intensité des émissions","867","Viande, bovine","2017","2017","kg CO2eq/kg product","13.4277","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","7231","Émissions (CO2eq)","867","Viande, bovine","2017","2017","gigagrammes","13616.3215","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","5510","Production","867","Viande, bovine","2017","2017","tonnes","1014050","","Donnée officielle"
"EI","Intensités des émissions","202","Afrique du Sud","71761","Intensité des émissions","882","Lait, entier frais de vache","2017","2017","kg CO2eq/kg product","0.4881","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","7231","Émissions (CO2eq)","882","Lait, entier frais de vache","2017","2017","gigagrammes","1561.9055","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","5510","Production","882","Lait, entier frais de vache","2017","2017","tonnes","3200000","F","Estimation FAO"
"EI","Intensités des émissions","202","Afrique du Sud","71761","Intensité des émissions","1017","Viande, caprin","2017","2017","kg CO2eq/kg product","105.0386","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","7231","Émissions (CO2eq)","1017","Viande, caprin","2017","2017","gigagrammes","1172.2311","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","5510","Production","1017","Viande, caprin","2017","2017","tonnes","11160","","Donnée officielle"
"EI","Intensités des émissions","202","Afrique du Sud","71761","Intensité des émissions","977","Viande, ovin","2017","2017","kg CO2eq/kg product","28.1031","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","7231","Émissions (CO2eq)","977","Viande, ovin","2017","2017","gigagrammes","4378.4605","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","5510","Production","977","Viande, ovin","2017","2017","tonnes","155800","","Donnée officielle"
"EI","Intensités des émissions","202","Afrique du Sud","71761","Intensité des émissions","1058","Viande, volaille","2017","2017","kg CO2eq/kg product","0.3726","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","7231","Émissions (CO2eq)","1058","Viande, volaille","2017","2017","gigagrammes","617.8128","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","5510","Production","1058","Viande, volaille","2017","2017","tonnes","1658000","","Donnée officielle"
"EI","Intensités des émissions","202","Afrique du Sud","71761","Intensité des émissions","1062","Œufs de poule en coquille","2017","2017","kg CO2eq/kg product","0.5739","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","7231","Émissions (CO2eq)","1062","Œufs de poule en coquille","2017","2017","gigagrammes","248.3273","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","5510","Production","1062","Œufs de poule en coquille","2017","2017","tonnes","432682","*","Chiffre non officiel"
"EI","Intensités des émissions","202","Afrique du Sud","71761","Intensité des émissions","1035","Viande, suidés","2017","2017","kg CO2eq/kg product","1.7386","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","7231","Émissions (CO2eq)","1035","Viande, suidés","2017","2017","gigagrammes","409.0872","Fc","Donnée calculée"
"EI","Intensités des émissions","202","Afrique du Sud","5510","Production","1035","Viande, suidés","2017","2017","tonnes","235300","","Donnée officielle"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","1718","Céréales sans riz","2017","2017","kg CO2eq/kg product","0.3503","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","1718","Céréales sans riz","2017","2017","gigagrammes","245.8505","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","1718","Céréales sans riz","2017","2017","tonnes","701734","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","867","Viande, bovine","2017","2017","kg CO2eq/kg product","5.9463","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","867","Viande, bovine","2017","2017","gigagrammes","232.0073","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","867","Viande, bovine","2017","2017","tonnes","39017","","Donnée officielle"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","882","Lait, entier frais de vache","2017","2017","kg CO2eq/kg product","1.3908","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","882","Lait, entier frais de vache","2017","2017","gigagrammes","1366.4791","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","882","Lait, entier frais de vache","2017","2017","tonnes","982510","","Donnée officielle"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","1017","Viande, caprin","2017","2017","kg CO2eq/kg product","5.1999","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","1017","Viande, caprin","2017","2017","gigagrammes","50.5587","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","1017","Viande, caprin","2017","2017","tonnes","9723","","Donnée officielle"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","1020","Lait, entier frais de chèvre","2017","2017","kg CO2eq/kg product","1.9357","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","1020","Lait, entier frais de chèvre","2017","2017","gigagrammes","168.1143","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","1020","Lait, entier frais de chèvre","2017","2017","tonnes","86849","","Donnée officielle"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","951","Lait, entier frais de bufflesse","2017","2017","kg CO2eq/kg product","3.6058","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","951","Lait, entier frais de bufflesse","2017","2017","gigagrammes","0.0412","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","951","Lait, entier frais de bufflesse","2017","2017","tonnes","11","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","977","Viande, ovin","2017","2017","kg CO2eq/kg product","8.8582","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","977","Viande, ovin","2017","2017","gigagrammes","146.2663","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","977","Viande, ovin","2017","2017","tonnes","16512","","Donnée officielle"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","982","Lait, entier frais de brebis","2017","2017","kg CO2eq/kg product","4.5692","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","982","Lait, entier frais de brebis","2017","2017","gigagrammes","397.1886","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","982","Lait, entier frais de brebis","2017","2017","tonnes","86927","","Donnée officielle"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","1058","Viande, volaille","2017","2017","kg CO2eq/kg product","0.8959","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","1058","Viande, volaille","2017","2017","gigagrammes","11.5674","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","1058","Viande, volaille","2017","2017","tonnes","12912","","Donnée officielle"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","1062","Œufs de poule en coquille","2017","2017","kg CO2eq/kg product","0.9232","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","1062","Œufs de poule en coquille","2017","2017","gigagrammes","47.1764","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","1062","Œufs de poule en coquille","2017","2017","tonnes","51099","","Donnée officielle"
"EI","Intensités des émissions","3","Albanie","71761","Intensité des émissions","1035","Viande, suidés","2017","2017","kg CO2eq/kg product","4.0718","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","7231","Émissions (CO2eq)","1035","Viande, suidés","2017","2017","gigagrammes","47.074","Fc","Donnée calculée"
"EI","Intensités des émissions","3","Albanie","5510","Production","1035","Viande, suidés","2017","2017","tonnes","11561","","Donnée officielle"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","1718","Céréales sans riz","2017","2017","kg CO2eq/kg product","0.1142","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","1718","Céréales sans riz","2017","2017","gigagrammes","397.1881","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","1718","Céréales sans riz","2017","2017","tonnes","3477824","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","27","Riz, paddy","2017","2017","kg CO2eq/kg product","197.055","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","27","Riz, paddy","2017","2017","gigagrammes","42.1666","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","27","Riz, paddy","2017","2017","tonnes","214","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","867","Viande, bovine","2017","2017","kg CO2eq/kg product","6.1627","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","867","Viande, bovine","2017","2017","gigagrammes","931.7934","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","867","Viande, bovine","2017","2017","tonnes","151200","F","Estimation FAO"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","882","Lait, entier frais de vache","2017","2017","kg CO2eq/kg product","0.6622","Fc","Donnée calculée"
